id , painting_title             , season, episode, air_date , Alizarin_Crimson, Black_Gesso, Bright_Red, Burnt_Umber, Cadmium_Yellow, Dark_Sienna, Indian_Red, Indian_Yellow, Liquid_Black, Liquid_Clear, Midnight_Black, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, APPLE_FRAME, AURORA_BOREALIS, BARN, BEACH, BOAT, BRIDGE, BUILDING, BUSHES, CABIN, CACTUS, CIRCLE_FRAME, CIRRUS, CLIFF, CLOUDS, CONIFER, CUMULUS, DECIDUOUS, DIANE_ANDRE, DOCK, DOUBLE_OVAL_FRAME, FARM, FENCE, FIRE, FLORIDA_FRAME, FLOWERS, FOG, FRAMED, GRASS, GUEST, HALF_CIRCLE_FRAME, HALF_OVAL_FRAME, HILLS, LAKE, LAKES, LIGHTHOUSE, MILL, MOON, MOUNTAIN, MOUNTAINS, NIGHT, OCEAN, OVAL_FRAME, PALM_TREES, PATH, PERSON, PORTRAIT, RECTANGLE_3D_FRAME, RECTANGULAR_FRAME, RIVER, ROCKS, SEASHELL_FRAME, SNOW, SNOWY_MOUNTAIN, SPLIT_FRAME, STEVE_ROSS, STRUCTURE, SUN, TOMB_FRAME, TREE, TREES, TRIPLE_FRAME, WATERFALL, WAVES, WINDMILL, WINDOW_FRAME, WINTER, WOOD_FRAMED
  1, A Walk in the Woods        ,      1,       1, 11-Jan-83,                1,           0,          1,           0,              1,           0,          0,             0,            0,            0,              0,            0,             1,             1,         1,              1,              1,            0,           0,               0,    0,     0,    0,      0,        0,      1,     0,      0,            0,      0,     0,      0,       0,       0,         1,           0,    0,                 0,    0,     0,    0,             0,       0,   0,      0,     1,     0,                 0,               0,     0,    0,     0,          0,    0,    0,        0,         0,     0,     0,          0,          0,    0,      0,        0,                  0,                 0,     1,     0,              0,    0,              0,           0,          0,         0,   0,          0,    1,     1,            0,         0,     0,        0,            0,      0,           0
  2, Mt. McKinley               ,      1,       2, 11-Jan-83,                1,           0,          1,           0,              1,           0,          0,             0,            0,            0,              0,            0,             1,             1,         1,              1,              1,            0,           0,               0,    0,     0,    0,      0,        0,      0,     1,      0,            0,      0,     0,      1,       1,       0,         0,           0,    0,                 0,    0,     0,    0,             0,       0,   0,      0,     0,     0,                 0,               0,     0,    0,     0,          0,    0,    0,        1,         0,     0,     0,          0,          0,    0,      0,        0,                  0,                 0,     0,     0,              0,    1,              1,           0,          0,         0,   0,          0,    1,     1,            0,         0,     0,        0,            0,      1,           0
  3, Ebony Sunset               ,      1,       3, 18-Jan-83,                1,           1,          1,           0,              1,           0,          0,             0,            0,            0,              0,            0,             1,             1,         1,              1,              1,            0,           0,               0,    0,     0,    0,      0,        0,      0,     1,      0,            0,      0,     0,      0,       1,       0,         0,           0,    0,                 0,    0,     1,    0,             0,       0,   0,      0,     0,     0,                 0,               0,     0,    0,     0,          0,    0,    0,        1,         1,     0,     0,          0,          0,    0,      0,        0,                  0,                 0,     0,     0,              0,    0,              0,           0,          0,         1,   1,          0,    1,     1,            0,         0,     0,        0,            0,      1,           0
  4, Winter Mist                ,      1,       4, 25-Jan-83,                0,           0,          0,           0,              0,           0,          0,             0,            0,            0,              0,            0,             0,             1,         0,              1,              1,            0,           0,               0,    0,     0,    0,      0,        0,      1,     0,      0,            0,      0,     0,      1,       1,       0,         0,           0,    0,                 0,    0,     0,    0,             0,       0,   0,      0,     0,     0,                 0,               0,     0,    1,     0,          0,    0,    0,        1,         0,     0,     0,          0,          0,    0,      0,        0,                  0,                 0,     0,     0,              0,    0,              1,           0,          0,         0,   0,          0,    1,     1,            0,         0,     0,        0,            0,      0,           0
  5, Quiet Stream               ,      1,       5, 1-Feb-83 ,                1,           0,          1,           0,              1,           0,          0,             0,            0,            0,              0,            0,             1,             1,         1,              1,              1,            0,           0,               0,    0,     0,    0,      0,        0,      0,     0,      0,            0,      0,     0,      0,       0,       0,         1,           0,    0,                 0,    0,     0,    0,             0,       0,   0,      0,     0,     0,                 0,               0,     0,    0,     0,          0,    0,    0,        0,         0,     0,     0,          0,          0,    0,      0,        0,                  0,                 0,     1,     1,              0,    0,              0,           0,          0,         0,   0,          0,    1,     1,            0,         0,     0,        0,            0,      0,           0
  6, Winter Moon                ,      1,       6, 8-Feb-83 ,                0,           1,          0,           0,              0,           0,          0,             0,            0,            0,              0,            0,             0,             1,         0,              1,              1,            0,           0,               0,    0,     0,    0,      0,        0,      0,     1,      0,            0,      0,     0,      0,       1,       0,         0,           0,    0,                 0,    0,     0,    0,             0,       0,   0,      0,     0,     0,                 0,               0,     0,    1,     0,          0,    0,    1,        1,         1,     1,     0,          0,          0,    0,      0,        0,                  0,                 0,     0,     0,              0,    1,              1,           0,          0,         1,   0,          0,    1,     1,            0,         0,     0,        0,            0,      1,           0
  7, Autumn Mountain            ,      1,       7, 15-Feb-83,                1,           0,          1,           0,              1,           0,          0,             0,            0,            0,              0,            0,             1,             1,         1,              1,              1,            0,           0,               0,    0,     0,    0,      0,        0,      0,     0,      0,            0,      0,     0,      0,       0,       0,         1,           0,    0,                 0,    0,     0,    0,             0,       0,   0,      0,     0,     0,                 0,               0,     0,    1,     0,          0,    0,    0,        1,         1,     0,     0,          0,          0,    0,      0,        0,                  0,                 0,     0,     0,              0,    0,              1,           0,          0,         0,   0,          0,    1,     1,            0,         0,     0,        0,            0,      0,           0
  8, Peaceful Valley            ,      1,       8, 22-Feb-83,                1,           0,          1,           0,              1,           0,          0,             0,            0,            0,              0,            0,             1,             1,         1,              1,              1,            0,           0,               0,    0,     0,    0,      0,        0,      1,     0,      0,            0,      0,     0,      0,       1,       0,         0,           0,    0,                 0,    0,     0,    0,             0,       0,   0,      0,     0,     0,                 0,               0,     0,    1,     0,          0,    0,    0,        1,         1,     0,     0,          0,          0,    0,      0,        0,                  0,                 0,     0,     0,              0,    0,              0,           0,          0,         0,   0,          0,    1,     1,            0,         0,     0,        0,            0,      0,           0
  9, Seascape                   ,      1,       9, 1-Mar-83 ,                1,           0,          1,           0,              1,           0,          0,             0,            0,            0,              0,            0,             1,             1,         1,              1,              1,            0,           0,               0,    0,     1,    0,      0,        0,      0,     0,      0,            0,      0,     0,      1,       0,       0,         0,           0,    0,                 0,    0,     1,    0,             0,       0,   0,      0,     0,     0,                 0,               0,     0,    0,     0,          0,    0,    0,        0,         0,     0,     1,          0,          0,    0,      0,        0,                  0,                 0,     0,     0,              0,    0,              0,           0,          0,         0,   0,          0,    0,     0,            0,         0,     0,        0,            0,      0,           0
 10, Mountain Lake              ,      1,      10, 8-Mar-83 ,                1,           0,          1,           0,              1,           0,          0,             0,            0,            0,              0,            0,             1,             1,         1,              1,              1,            0,           0,               0,    0,     0,    0,      0,        0,      1,     0,      0,            0,      0,     0,      0,       1,       0,         1,           0,    0,                 0,    0,     0,    0,             0,       0,   0,      0,     0,     0,                 0,               0,     0,    1,     0,          0,    0,    0,        1,         0,     0,     0,          0,          0,    0,      0,        0,                  0,                 0,     0,     0,              0,    0,              0,           0,          0,         0,   0,          0,    1,     1,            0,         0,     0,        0,            0,      0,           0
